Stats,aRMSE,aSAM,overallRMSE,rmsAAD,perClassSumRMSE,class0RMSE,class1RMSE,class2RMSE,class3RMSE,class4RMSE,class5RMSE,inference_time
mean,0.013365933671593666,0.03963281959295273,0.0171248409897089,0.05675864219665527,0.10184060037136078,0.018740328028798103,0.016948042437434196,0.01508281473070383,0.015045699663460255,0.014978141523897648,0.021045571193099022,6.435078859329224
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,0.013365933671593666,0.03963281959295273,0.0171248409897089,0.05675864219665527,0.10184060037136078,0.018740328028798103,0.016948042437434196,0.01508281473070383,0.015045699663460255,0.014978141523897648,0.021045571193099022,6.435078859329224
max,0.013365933671593666,0.03963281959295273,0.0171248409897089,0.05675864219665527,0.10184060037136078,0.018740328028798103,0.016948042437434196,0.01508281473070383,0.015045699663460255,0.014978141523897648,0.021045571193099022,6.435078859329224
