loss,overall_rmse,overall_rms_abundance_angle_distance,sum_per_class_rmse,val_loss,val_overall_rmse,val_overall_rms_abundance_angle_distance,val_sum_per_class_rmse,TimeHistory
7.021692726993933e-05,0.008317207917571068,0.019436854869127274,0.03288428112864494,0.00011849252041429281,0.010606124065816402,0.025602910667657852,0.040921472012996674,0.872861385345459
7.342365279328078e-05,0.008539209142327309,0.02037348411977291,0.03350452706217766,0.00015591748524457216,0.01233321987092495,0.029455620795488358,0.04811590164899826,0.88649582862854
6.713644688716158e-05,0.008161071687936783,0.019126402214169502,0.03219810128211975,0.0001690126082394272,0.012870940379798412,0.03226342424750328,0.050069890916347504,0.8818447589874268
7.76463421061635e-05,0.008736172690987587,0.020957568660378456,0.03415398299694061,0.00014139579434413463,0.011383826844394207,0.027257170528173447,0.044063422828912735,0.8879153728485107
8.459517266601324e-05,0.00914085004478693,0.021886110305786133,0.035914190113544464,0.00012979259190615267,0.011094016022980213,0.026962149888277054,0.043054357171058655,0.9163429737091064
7.156409992603585e-05,0.00843856018036604,0.019943615421652794,0.03310823813080788,0.00014060876856092364,0.011600354686379433,0.029051300138235092,0.0441167913377285,0.8677022457122803
9.143893839791417e-05,0.009428647346794605,0.02269241213798523,0.036945976316928864,0.00014090251352172345,0.011598465032875538,0.029561461880803108,0.0451267771422863,0.8691601753234863
6.735471833962947e-05,0.008133495226502419,0.019242629408836365,0.03202160447835922,0.00012067463831044734,0.010643464513123035,0.02680615335702896,0.04135687276721001,0.8265821933746338
6.078412479837425e-05,0.007746580988168716,0.018466956913471222,0.030471431091427803,0.0001081973168766126,0.010054751299321651,0.025123270228505135,0.03908686712384224,0.8540935516357422
6.284294067882001e-05,0.007907392457127571,0.018779296427965164,0.031070081517100334,0.00012351317855063826,0.010688694193959236,0.026151802390813828,0.041629306972026825,0.8778641223907471
6.714451592415571e-05,0.008115301840007305,0.019333073869347572,0.03197052329778671,0.00013607471191789955,0.01127003226429224,0.028521200641989708,0.04330643266439438,0.9056758880615234
7.300543802557513e-05,0.008473441936075687,0.020389625802636147,0.03318776935338974,0.00011364038073224947,0.010264207608997822,0.025259219110012054,0.039961762726306915,0.8794057369232178
7.437915337504819e-05,0.008557597175240517,0.020438704639673233,0.03363712504506111,0.00018881066353060305,0.013248488306999207,0.03336196765303612,0.049512315541505814,0.892648458480835
7.773720426484942e-05,0.008717267774045467,0.02074873447418213,0.0341155081987381,0.00012125172361265868,0.010785846039652824,0.02653895691037178,0.042001739144325256,0.8478262424468994
6.765867146896198e-05,0.00816162209957838,0.01956634409725666,0.0321006216108799,0.00012708995200227946,0.010998746380209923,0.02713710442185402,0.04290201887488365,0.8603956699371338
7.276015094248578e-05,0.00842114258557558,0.0203388798981905,0.0329747349023819,0.00013022194616496563,0.01097860001027584,0.026758959516882896,0.0421636737883091,0.8211641311645508
8.109446207527071e-05,0.00889201182872057,0.020632969215512276,0.035002872347831726,0.00014218674914445728,0.011676442809402943,0.028472816571593285,0.04504697769880295,0.8449769020080566
6.0895297792740166e-05,0.007733993697911501,0.018443472683429718,0.030311569571495056,0.00010327054042136297,0.009948578663170338,0.024194521829485893,0.0385434553027153,0.8373615741729736
5.893600609852001e-05,0.007597008720040321,0.018245436251163483,0.029753495007753372,0.00010102181840920821,0.009647379629313946,0.02387176640331745,0.037282545119524,0.8694581985473633
4.9011603550752625e-05,0.006971451453864574,0.01639970950782299,0.027368074283003807,9.854041127255186e-05,0.009591803885996342,0.023953299969434738,0.036994073539972305,0.8805999755859375
5.398658322519623e-05,0.007289120461791754,0.01684887520968914,0.028780845925211906,0.00011055393406422809,0.010159535333514214,0.02512715384364128,0.03928153216838837,0.8657777309417725
7.065492536639795e-05,0.008337783627212048,0.019344527274370193,0.032819464802742004,0.0001583093253429979,0.01227996964007616,0.02803182043135166,0.0478297583758831,0.9101307392120361
5.852441245224327e-05,0.007579001598060131,0.017897039651870728,0.029756922274827957,0.00011720356997102499,0.010572492145001888,0.026181120425462723,0.0411968007683754,0.8459806442260742
5.4089872719487175e-05,0.007297183852642775,0.01722993515431881,0.028725920245051384,9.262772800866514e-05,0.00916959811002016,0.02273569628596306,0.03533216938376427,0.8556883335113525
4.20887881773524e-05,0.006432631518691778,0.015131847932934761,0.025330806151032448,8.789513958618045e-05,0.008997120894491673,0.022282715886831284,0.034631434828042984,0.8375823497772217
4.662093851948157e-05,0.006775537505745888,0.01614944264292717,0.02657138556241989,0.00011662585166050121,0.01061552856117487,0.026577424257993698,0.04047124832868576,0.884868860244751
6.439093704102561e-05,0.007902078330516815,0.019210342317819595,0.030765946954488754,0.00010707127512432635,0.009944361634552479,0.02507825754582882,0.038466863334178925,0.8750660419464111
7.239262777147815e-05,0.008386730216443539,0.020233480259776115,0.03239958733320236,0.00011331087443977594,0.01048157550394535,0.026133574545383453,0.04094601795077324,0.8964245319366455
4.7298221033997834e-05,0.0068216281943023205,0.016172582283616066,0.0268219206482172,8.898145460989326e-05,0.008994468487799168,0.02223273366689682,0.03465209901332855,0.8940680027008057
5.6863518693717197e-05,0.0074172536842525005,0.01758468523621559,0.029010862112045288,0.00010988625581376255,0.010170763358473778,0.025074763223528862,0.039846789091825485,0.8825294971466064
7.360106246778741e-05,0.008415252901613712,0.020453693345189095,0.03285451605916023,0.0001123771071434021,0.010294714011251926,0.025262076407670975,0.04024268686771393,0.8964078426361084
5.905261423322372e-05,0.007596591487526894,0.01820843666791916,0.029731670394539833,9.886199404718354e-05,0.009478310123085976,0.02288193069398403,0.037056975066661835,0.865922212600708
4.807364894077182e-05,0.006881688721477985,0.01650083437561989,0.026897596195340157,8.587651245761663e-05,0.00891316868364811,0.021937770769000053,0.03435058891773224,0.8885223865509033
4.6287990699056536e-05,0.006711845751851797,0.01585589349269867,0.02628859132528305,8.28002011985518e-05,0.008807901293039322,0.02162998914718628,0.03411279246211052,0.8759307861328125
3.803709478233941e-05,0.006144893355667591,0.014452357776463032,0.024192960932850838,0.00013309104542713612,0.01147792860865593,0.02850564569234848,0.043793339282274246,0.8915348052978516
5.862120451638475e-05,0.007617044262588024,0.018081020563840866,0.029753638431429863,0.00012082079047104344,0.010875740088522434,0.026634611189365387,0.042621418833732605,0.896691083908081
