Stats,aRMSE,aSAM,overallRMSE,rmsAAD,perClassSumRMSE,class0RMSE,class1RMSE,class2RMSE,class3RMSE,class4RMSE,class5RMSE,inference_time
mean,0.011133231222629547,0.03419237211346626,0.01569647155702114,0.05327441915869713,0.09247923642396927,0.020460493862628937,0.016091950237751007,0.013346781022846699,0.01163764763623476,0.013421036303043365,0.0175213310867548,0.24980735778808594
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,0.011133231222629547,0.03419237211346626,0.01569647155702114,0.05327441915869713,0.09247923642396927,0.020460493862628937,0.016091950237751007,0.013346781022846699,0.01163764763623476,0.013421036303043365,0.0175213310867548,0.24980735778808594
max,0.011133231222629547,0.03419237211346626,0.01569647155702114,0.05327441915869713,0.09247923642396927,0.020460493862628937,0.016091950237751007,0.013346781022846699,0.01163764763623476,0.013421036303043365,0.0175213310867548,0.24980735778808594
