Stats,aRMSE,aSAM,overallRMSE,rmsAAD,perClassSumRMSE,class0RMSE,class1RMSE,class2RMSE,class3RMSE,class4RMSE,class5RMSE,inference_time
mean,0.0035116439685225487,0.010902262292802334,0.005594084970653057,0.019104406237602234,0.033162008970975876,0.00717043224722147,0.00572860985994339,0.005013505462557077,0.004460809752345085,0.0050076087936758995,0.005781043320894241,3.7981984615325928
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,0.0035116439685225487,0.010902262292802334,0.005594084970653057,0.019104406237602234,0.033162008970975876,0.00717043224722147,0.00572860985994339,0.005013505462557077,0.004460809752345085,0.0050076087936758995,0.005781043320894241,3.7981984615325928
max,0.0035116439685225487,0.010902262292802334,0.005594084970653057,0.019104406237602234,0.033162008970975876,0.00717043224722147,0.00572860985994339,0.005013505462557077,0.004460809752345085,0.0050076087936758995,0.005781043320894241,3.7981984615325928
