loss,overall_rmse,overall_rms_abundance_angle_distance,sum_per_class_rmse,val_loss,val_overall_rmse,val_overall_rms_abundance_angle_distance,val_sum_per_class_rmse,TimeHistory
0.18982532620429993,0.36287492513656616,0.8939939737319946,1.4371446371078491,0.23384253680706024,0.42168989777565,0.9304467439651489,1.6807953119277954,17.165122985839844
0.15690933167934418,0.31735530495643616,0.8167493939399719,1.2364591360092163,0.21842722594738007,0.4047064483165741,0.9249085783958435,1.6123796701431274,4.640772819519043
0.14349426329135895,0.29842349886894226,0.7627493739128113,1.1570894718170166,0.19757840037345886,0.3799317181110382,0.9157983064651489,1.513173222541809,4.552330255508423
0.13158699870109558,0.28073444962501526,0.710054874420166,1.0902763605117798,0.17935289442539215,0.35707515478134155,0.9168490171432495,1.4203296899795532,4.548073768615723
0.11835097521543503,0.25906479358673096,0.6491368412971497,1.0078896284103394,0.1560150533914566,0.32440873980522156,0.8424453139305115,1.2888301610946655,4.647448778152466
0.10465976595878601,0.23495522141456604,0.5876299142837524,0.9157134890556335,0.1391870677471161,0.29963165521621704,0.7764418721199036,1.18829345703125,4.523574113845825
0.09444303065538406,0.2158205360174179,0.5417540073394775,0.8407101035118103,0.12072983384132385,0.26959261298179626,0.703417181968689,1.0683168172836304,4.557596445083618
0.08647605776786804,0.19998086988925934,0.5103595852851868,0.775570273399353,0.10641978681087494,0.24481897056102753,0.6395689845085144,0.9706310033798218,4.542433023452759
0.08096002042293549,0.19011597335338593,0.4904334545135498,0.7347742915153503,0.09049013257026672,0.21392694115638733,0.5632671117782593,0.8497603535652161,4.551557779312134
0.0762832909822464,0.18178804218769073,0.4744747281074524,0.6986672878265381,0.08103638887405396,0.19494368135929108,0.5092629194259644,0.7747224569320679,4.567519903182983
0.07281453162431717,0.17657501995563507,0.46320292353630066,0.6780108213424683,0.0723523423075676,0.1760144680738449,0.4614093601703644,0.6949711441993713,4.573453187942505
0.06946747750043869,0.17097841203212738,0.4513731896877289,0.6555199027061462,0.06784932315349579,0.16740325093269348,0.4403437674045563,0.659992516040802,4.567865371704102
0.06629116833209991,0.16604013741016388,0.43977048993110657,0.6367412209510803,0.0630868673324585,0.15757149457931519,0.41524234414100647,0.6179628372192383,4.613358020782471
0.06322198361158371,0.1612512320280075,0.4274085462093353,0.6201555728912354,0.060105592012405396,0.15249870717525482,0.40478020906448364,0.5947163105010986,4.58841872215271
0.06043235957622528,0.15724779665470123,0.417620450258255,0.6062091588973999,0.05754147097468376,0.14860954880714417,0.39452609419822693,0.5807481408119202,4.646417617797852
0.05753016844391823,0.15188774466514587,0.4025772213935852,0.5875795483589172,0.05328400805592537,0.13840554654598236,0.36888495087623596,0.5425708889961243,4.528934001922607
0.05456119030714035,0.14570041000843048,0.3853587806224823,0.5664194226264954,0.05059988051652908,0.1332399994134903,0.35415422916412354,0.5182119011878967,4.643080472946167
0.05135602876543999,0.13861140608787537,0.3664070665836334,0.5406497120857239,0.04717673733830452,0.12467580288648605,0.33024653792381287,0.49569618701934814,4.639257907867432
0.04866182059049606,0.1328478902578354,0.3501954674720764,0.5202649831771851,0.044752608984708786,0.11930040270090103,0.31479498744010925,0.4711913764476776,4.689087867736816
0.04609633982181549,0.12751638889312744,0.33481714129447937,0.5004882216453552,0.04222599044442177,0.11324191838502884,0.2977595031261444,0.44989868998527527,4.658247232437134
