Stats,aRMSE,aSAM,overallRMSE,rmsAAD,perClassSumRMSE,class0RMSE,class1RMSE,class2RMSE,class3RMSE,inference_time
mean,0.005597429815679789,0.012161790393292904,0.008025094866752625,0.01903519034385681,0.03138498216867447,0.006048652343451977,0.006278143264353275,0.00953142810612917,0.009526760317385197,3.4068171977996826
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,0.005597429815679789,0.012161790393292904,0.008025094866752625,0.01903519034385681,0.03138498216867447,0.006048652343451977,0.006278143264353275,0.00953142810612917,0.009526760317385197,3.4068171977996826
max,0.005597429815679789,0.012161790393292904,0.008025094866752625,0.01903519034385681,0.03138498216867447,0.006048652343451977,0.006278143264353275,0.00953142810612917,0.009526760317385197,3.4068171977996826
