loss,overall_rmse,overall_rms_abundance_angle_distance,sum_per_class_rmse,val_loss,val_overall_rmse,val_overall_rms_abundance_angle_distance,val_sum_per_class_rmse,TimeHistory
4.539817018667236e-05,0.00666117062792182,0.021855086088180542,0.03891739994287491,6.294663035077974e-05,0.007889323867857456,0.026060082018375397,0.045806609094142914,8.053125619888306
3.9084367017494515e-05,0.006191343069076538,0.02025013230741024,0.0361749604344368,5.9884045185754076e-05,0.00768855819478631,0.025401238352060318,0.04496639221906662,7.98172402381897
3.9692953578196466e-05,0.006249080412089825,0.020450150594115257,0.03655379265546799,6.410076457541436e-05,0.007958455942571163,0.026338979601860046,0.045890070497989655,7.8092076778411865
3.949255187762901e-05,0.006219262722879648,0.020352279767394066,0.03633842244744301,5.723918729927391e-05,0.0075110988691449165,0.02504943683743477,0.04372228682041168,7.806470632553101
4.266637552063912e-05,0.006466520484536886,0.021136414259672165,0.03784330561757088,7.180454122135416e-05,0.008423336781561375,0.027064107358455658,0.048400767147541046,7.931240558624268
4.2997635318897665e-05,0.006480272393673658,0.021194027736783028,0.037922412157058716,6.924122862983495e-05,0.008269592188298702,0.0272368136793375,0.04874499887228012,8.06885290145874
3.833768278127536e-05,0.006130940746515989,0.020115885883569717,0.03590812161564827,5.3437917813425884e-05,0.0072575341910123825,0.024640632793307304,0.04231676831841469,7.876986980438232
3.579045369406231e-05,0.005927766673266888,0.019395070150494576,0.034735262393951416,7.579772500321269e-05,0.008672208525240421,0.027841486036777496,0.05019227787852287,7.6611175537109375
3.7943071220070124e-05,0.006106470711529255,0.019955022260546684,0.03570899739861488,7.973756873980165e-05,0.008891728706657887,0.028647225350141525,0.05082356557250023,7.75017786026001
3.853116504615173e-05,0.006129336077719927,0.02002594619989395,0.03577539697289467,6.73421163810417e-05,0.008161824196577072,0.02776745706796646,0.047905150800943375,8.164520025253296
3.486072819214314e-05,0.005853600334376097,0.01902807131409645,0.03421542048454285,6.506668432848528e-05,0.0080269118770957,0.026816770434379578,0.04642412066459656,7.873126983642578
3.848144842777401e-05,0.006143060978502035,0.01996031031012535,0.03583463281393051,6.528478843392804e-05,0.008034997619688511,0.027020061388611794,0.046803753823041916,8.069024085998535
3.876739719999023e-05,0.0061315312050282955,0.020005153492093086,0.035815440118312836,6.231940642464906e-05,0.007837733253836632,0.025840437039732933,0.04538538679480553,8.013734102249146
3.3858170354506e-05,0.005748209543526173,0.018801428377628326,0.033686310052871704,4.7420395276276395e-05,0.006819064263254404,0.023237936198711395,0.03976360708475113,8.041043519973755
3.500446109683253e-05,0.005866113118827343,0.019169680774211884,0.03433817997574806,9.430891077499837e-05,0.009679514914751053,0.031582191586494446,0.055070243775844574,8.017275333404541
3.316853326396085e-05,0.0056932903826236725,0.018619133159518242,0.03331984579563141,5.463799971039407e-05,0.007343819364905357,0.02484378032386303,0.04276541620492935,8.063096284866333
3.577677853172645e-05,0.005913006607443094,0.019282754510641098,0.03454594686627388,5.627712744171731e-05,0.007452167104929686,0.024672597646713257,0.043539050966501236,8.046556949615479
3.279895463492721e-05,0.005654983688145876,0.018501417711377144,0.03307458013296127,6.355393270496279e-05,0.007922369986772537,0.025975748896598816,0.04631416127085686,8.081394910812378
3.5054963518632576e-05,0.005799906328320503,0.018970396369695663,0.03399573639035225,5.0384780479362234e-05,0.007048743776977062,0.023185910657048225,0.04088694974780083,8.025497913360596
3.1494262657361105e-05,0.005542905069887638,0.01808852329850197,0.03245163708925247,6.228082202142105e-05,0.007848754525184631,0.02539694681763649,0.04563470184803009,7.916996002197266
3.368364559719339e-05,0.005750185344368219,0.018853744491934776,0.03365483507514,5.815181430079974e-05,0.00757236685603857,0.02505815215408802,0.043888866901397705,7.921753644943237
3.2589090551482514e-05,0.005649481434375048,0.01852969266474247,0.032996177673339844,4.790901584783569e-05,0.006857472471892834,0.022938290610909462,0.0399324893951416,7.856205940246582
3.3596388675505295e-05,0.005725410301238298,0.01870778761804104,0.03346095234155655,4.739528230857104e-05,0.006818949244916439,0.022358600050210953,0.03942582756280899,7.964702606201172
